,,,,Overall,,,,,,,PP,,SH,,Defense,
Player_Name,Team,Pos,Games,G,A,Pts,plusminus,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Alexander Barabanov,SJ,RW,13,3,5,8,-3,0,8,1,1,1,0,0,6,8
Drew O'Connor,PIT,C,12,3,2,5,2,4,20,0,0,0,0,0,11,5
Brandon Duhaime,MIN,LW,18,3,4,7,-2,35,33,1,0,0,0,0,45,5
Anton Lundell,FLA,C,14,3,4,7,2,6,21,1,0,1,0,0,8,16
Jamie Drysdale,ANH,D,19,2,6,8,-4,2,37,1,0,2,0,0,7,19
Alex Newhook,COL,C,6,2,2,4,1,2,10,2,0,1,0,0,3,4
Moritz Seider,DET,D,20,2,11,13,-1,14,34,1,0,6,0,0,25,30
Arttu Ruotsalainen,BUF,C,15,2,2,4,0,6,21,0,0,0,0,0,11,3
Jacob Peterson,DAL,LW,11,2,1,3,-3,4,13,0,0,0,0,0,7,2
Mason McTavish,ANH,C,9,2,1,3,3,2,12,1,0,1,0,0,8,6
Jasper Weatherby,SJ,C,18,2,3,5,-7,12,18,0,1,1,0,0,21,11
Rasmus Kupari,LA,C,17,2,2,4,-1,8,15,1,1,1,0,0,16,5
Barrett Hayton,ARI,C,13,2,1,3,-2,6,13,1,1,0,0,0,17,6
Martin Fehervary,WAS,D,19,2,3,5,5,0,22,0,0,0,1,0,54,28
K'Andre Miller,NYR,D,18,2,1,3,1,8,15,0,0,0,0,0,21,25
Quinn Hughes,VAN,D,18,2,12,14,4,14,36,0,0,6,0,1,2,13
Evan Bouchard,EDM,D,18,2,8,10,3,2,44,0,0,2,0,1,17,30
Joe Veleno,DET,C,8,2,1,3,0,4,15,0,0,0,0,0,16,0
Jack Hughes,NJ,C,2,2,1,3,2,0,4,1,0,0,0,0,0,0
Connor McMichael,WAS,C,17,2,4,6,0,4,33,0,0,0,0,0,10,5
Yegor Sharangovich,NJ,LW,14,2,4,6,-1,2,25,1,0,1,0,0,5,4
Brett Leason,WAS,RW,11,2,1,3,0,0,16,0,0,0,0,0,6,5
Paul Cotter,VGK,C,6,2,0,2,1,4,10,0,0,0,0,0,15,1
Eric Robinson,CLS,LW,16,2,4,6,2,2,23,0,0,0,0,0,17,6
Carson Soucy,SEA,D,12,2,2,4,-3,6,19,0,0,1,0,0,31,12
Zach Whitecloud,VGK,D,7,2,1,3,2,2,14,1,0,0,0,0,16,20
Rudolfs Balcers,SJ,LW,18,2,5,7,-6,4,36,1,0,0,0,1,35,10
Alex Kerfoot,TOR,C,20,2,9,11,5,2,28,1,0,0,0,0,16,9
Dominic Toninato,WPG,LW,15,2,1,3,0,2,9,0,0,0,0,0,19,5
Mario Ferraro,SJ,D,18,2,7,9,-2,6,15,1,0,0,0,0,41,51
Jan Rutta,TB,D,17,2,3,5,0,14,22,0,0,0,0,0,15,18
Klim Kostin,STL,RW,17,2,3,5,-1,10,20,1,0,0,0,0,48,3
Filip Chytil,NYR,C,15,2,2,4,0,4,31,0,0,0,0,0,7,5
Morgan Geekie,SEA,C,18,2,2,4,-9,2,28,0,0,2,0,0,13,8
Mackenzie Entwistle,CHI,RW,12,2,1,3,-4,0,7,0,0,0,1,0,30,5
Robert Thomas,STL,C,18,2,15,17,0,10,24,1,0,4,0,0,4,6
Alex Formenton,OTT,LW,13,2,1,3,-5,11,20,1,0,0,0,0,23,3
Jansen Harkins,WPG,C,18,2,1,3,2,2,16,0,0,0,0,0,11,3
